id,DATA_MOVER_SHARING,CONVOLVERS,KERNEL_CLOCK,IMPL_STRATEGY,DATA_MOVER_CLOCK,CLOCK_UNCERTAINTY,state,presynth_time,synth_time,impl_time,run_time
1,0,10,2,16,3,19.79192530457753,PE4,inf,inf,inf,inf
2,0,1,2,8,0,8.183800479218473,TIMING,514.83,643.81,inf,inf
3,3,2,1,2,1,64.4395943365004,OK,630.98,640.57,352.8,1270744612.0
4,1,11,0,15,1,25.2839981593059,PE4,inf,inf,inf,inf
5,3,7,0,1,3,62.54298752230522,IE6,2460.29,710.58,inf,inf
6,3,1,1,0,0,93.42945196186835,TIMING,524.89,636.31,inf,inf
7,3,15,1,1,1,95.98650634198614,PE4,inf,inf,inf,inf
8,3,1,1,4,1,67.39098605203391,OK,518.54,610.48,307.98,1739848664.0
9,3,2,1,17,1,63.539619994045104,OK,643.39,659.56,359.09,1263575652.0
10,1,2,0,8,3,76.17850901443202,TIMING,648.88,665.03,inf,inf
11,3,3,3,15,1,65.62074112451478,TIMING,793.68,640.99,inf,inf
12,3,2,0,25,2,64.5484375530017,TIMING,619.6,636.82,inf,inf
13,1,1,2,4,1,52.21233949845774,TIMING,511.1,668.31,inf,inf
14,3,1,2,17,1,18.422579477692718,TIMING,545.62,666.44,inf,inf
15,2,1,1,2,3,9.687847550864792,TIMING,516.87,607.24,inf,inf
16,3,1,1,5,2,28.608263676272966,TIMING,544.83,645.3,inf,inf
17,3,1,1,19,0,63.5763747244749,TIMING,521.42,655.45,inf,inf
18,3,1,1,23,0,67.47664078387592,TIMING,526.82,605.29,inf,inf
19,3,15,1,18,1,68.87466206678869,PE4,inf,inf,inf,inf
20,0,1,2,4,1,67.29775179300009,TIMING,510.96,599.92,inf,inf
21,3,8,1,3,1,73.81434865261879,IE6,3237.86,949.01,inf,inf
22,0,2,1,2,2,63.06473224309129,TIMING,642.88,627.88,inf,inf
23,3,1,0,5,1,63.394856396805935,TIMING,524.96,608.15,inf,inf
24,3,2,1,2,0,74.52663878464223,TIMING,642.88,636.01,inf,inf
25,0,14,3,18,1,64.20837830943947,PE4,inf,inf,inf,inf
26,1,2,1,25,1,16.401461927546922,TIMING,638.93,629.13,inf,inf
27,2,3,2,24,2,64.41241745786597,RE1,801.39,597.93,368.64,inf
28,3,3,1,8,1,64.35018433319318,TIMING,807.31,682.52,inf,inf
29,3,2,0,23,1,63.0686863002837,TIMING,632.24,637.89,inf,inf
30,2,1,1,8,1,64.90801767816541,OK,546.69,674.34,303.03,1737356080.0
31,3,2,1,2,3,61.5352776938241,TIMING,656.7,631.4,inf,inf
32,3,2,1,17,0,28.117651464380543,TIMING,656.75,623.26,inf,inf
33,1,1,1,6,2,63.5085419912757,TIMING,587.45,611.91,inf,inf
34,0,1,1,10,2,66.18064407750235,TIMING,587.44,639.45,inf,inf
35,2,2,3,13,0,64.9406642044019,TIMING,636.73,677.32,inf,inf
36,0,1,2,9,1,64.31873358856906,TIMING,586.93,637.37,inf,inf
37,3,6,0,20,2,63.53530012874068,TIMING,1901.86,743.24,inf,inf
38,1,1,1,2,0,65.15842996558217,TIMING,547.49,608.03,inf,inf
39,2,1,0,14,2,64.57984926735233,TIMING,543.72,618.42,inf,inf
40,2,1,1,5,2,65.63702739140945,TIMING,546.24,614.18,inf,inf
41,3,2,2,4,1,51.26972173364558,TIMING,643.62,629.07,inf,inf
42,3,2,3,17,1,67.40832911846512,TIMING,655.23,647.75,inf,inf
43,3,1,1,0,1,100.0,OK,552.66,643.12,321.52,1675043282.0
44,2,1,1,8,1,100.0,OK,552.59,616.88,334.83,1675010832.0
45,3,1,3,0,1,100.0,PE?,inf,inf,inf,inf
46,3,2,0,2,0,98.04751500161763,TIMING,651.29,642.39,inf,inf
47,3,16,1,0,1,100.0,PE4,inf,inf,inf,inf
48,3,2,2,8,3,99.09342922557312,TIMING,649.77,635.16,inf,inf
49,2,8,1,27,3,100.0,IE6,2960.26,774.17,inf,inf
50,0,1,1,15,1,90.70273580048614,TIMING,524.83,622.75,inf,inf
51,3,2,1,5,2,99.62775124966615,TIMING,643.73,635.46,inf,inf
52,2,1,1,27,1,100.0,OK,526.52,628.04,311.91,1674943698.0
53,2,4,0,27,2,99.98954158332525,TIMING,1060.27,655.2,inf,inf
54,3,8,1,3,2,29.068103912262433,TIMING,3252.8,655.79,inf,inf
55,0,1,0,0,1,99.99740418935193,TIMING,564.03,641.95,inf,inf
56,1,1,2,0,1,100.0,PE?,inf,inf,inf,inf
57,3,1,1,8,1,100.0,OK,546.18,628.02,335.59,1674958000.0
58,3,3,1,27,3,100.0,TIMING,799.6,606.41,inf,inf
59,3,1,0,27,1,100.0,PE?,inf,inf,inf,inf
60,3,1,2,27,1,66.10939073144174,TIMING,545.69,601.54,inf,inf
61,1,1,1,16,2,7.915640721973594,TIMING,516.58,654.16,inf,inf
62,0,1,2,8,0,100.0,PE?,inf,inf,inf,inf
63,2,1,1,11,1,98.57307676833413,TIMING,552.36,629.5,inf,inf
64,3,1,3,2,2,64.51150974100109,TIMING,550.85,641.09,inf,inf
65,2,1,1,8,1,73.36556585111835,TIMING,547.87,639.25,inf,inf
66,1,1,2,17,2,27.29308218831008,OK,535.64,603.75,302.23,1938349080.0
67,2,1,0,5,1,91.21884295628959,TIMING,526.08,663.79,inf,inf
68,2,1,0,0,3,100.0,PE?,inf,inf,inf,inf
69,1,1,3,22,2,40.392795201144274,TIMING,526.25,644.6,inf,inf
70,2,1,3,19,1,27.405090833963975,TIMING,521.24,640.79,inf,inf
71,1,1,3,22,3,57.3404357108367,TIMING,536.41,607.71,inf,inf
72,3,1,1,0,1,0.0,PE?,inf,inf,inf,inf
73,2,1,3,17,2,2.726606523621622,TIMING,524.59,646.31,inf,inf
74,0,1,2,18,3,26.624513504048174,TIMING,524.24,657.74,inf,inf
75,3,4,3,18,2,26.42310411082798,TIMING,1027.08,632.61,inf,inf
76,3,1,2,1,1,67.57908044828422,TIMING,522.87,661.22,inf,inf
77,0,1,2,11,0,27.08523050381112,TIMING,527.01,652.99,inf,inf
78,3,3,2,14,3,19.774756452933207,TIMING,787.96,656.51,inf,inf
79,1,2,2,17,2,33.00826268152483,OK,628.81,634.95,309.12,1394709854.0
80,3,1,0,10,1,100.0,PE?,inf,inf,inf,inf
81,2,1,1,15,3,100.0,TIMING,541.59,615.2,inf,inf
82,2,1,1,15,1,35.25856968275028,OK,515.85,641.14,331.03,1592389128.0
83,0,1,3,17,1,60.318780607275166,TIMING,541.59,622.43,inf,inf
84,0,7,0,17,2,37.080722088593,TIMING,2480.94,752.74,inf,inf
85,1,1,1,27,1,31.111491236499656,OK,569.47,663.61,291.8,1578318800.0
86,1,1,2,17,2,38.79832165378648,OK,532.96,637.58,292.03,1939420188.0
87,2,1,2,14,1,33.231326234621164,TIMING,570.0,637.7,inf,inf
88,1,1,0,17,3,27.878106411435233,TIMING,568.95,661.3,inf,inf
89,2,1,1,18,1,58.6030161910261,OK,517.27,645.44,347.58,1660818368.0
90,0,1,2,26,0,38.143143508465684,TIMING,543.87,653.18,inf,inf
91,3,1,1,17,2,38.73232577088387,TIMING,543.9,615.56,inf,inf
92,1,2,2,16,2,35.619077288641975,OK,617.19,665.69,293.61,1394886962.0
93,0,6,1,5,0,5.3672108882824805,TIMING,1877.68,642.33,inf,inf
94,1,1,3,17,3,35.249790289943526,TIMING,524.05,613.16,inf,inf
95,2,1,1,18,0,43.762953212193324,TIMING,523.68,643.74,inf,inf
96,2,2,1,16,2,100.0,TIMING,618.24,669.87,inf,inf
97,0,3,3,24,2,31.027750562528,TIMING,796.84,646.49,inf,inf
98,2,2,2,18,1,55.2909891824075,TIMING,638.28,621.33,inf,inf
99,1,1,2,17,2,37.996060870201106,OK,528.99,606.02,273.06,1939485300.0
100,2,1,1,17,1,42.238044906337024,TIMING,526.31,651.31,inf,inf
101,2,1,1,15,1,34.301053882540764,TIMING,556.08,665.03,inf,inf
