id,ARRAY_PARTITION_FACTOR,INIT_INTERVAL_HOR,INIT_INTERVAL_VER,ACCELERATOR_1_UNCERTAINTY,DATA_MOVER_CLOCK,ACCELERATOR_2_CLOCK,UNROLL_FACTOR_VER,ACCELERATOR_2_UNCERTAINTY,ACCELERATOR_1_CLOCK,UNROLL_FACTOR_HOR,state,time
1,1,1,11,58.81250482782661,2,1,2,91.00483760034683,0,2,ERROR,inf
2,15,6,3,67.47684018024552,3,1,1,89.35313417065412,0,2,ERROR,inf
3,2,6,11,22.218380479846815,2,2,1,67.73209359085237,3,2,ERROR,inf
4,3,5,1,72.52199859184184,1,2,2,66.8468692169409,3,2,ERROR,inf
5,13,1,8,58.18910575118088,0,2,1,94.09034987012133,3,2,ERROR,inf
6,3,15,6,21.528184982417507,3,2,1,51.71439413064738,2,1,ERROR,inf
7,1,8,1,89.35223152842954,1,3,2,19.609614579634883,2,2,ERROR,inf
8,1,15,1,96.86797056235687,0,3,2,68.47472418585454,3,2,ERROR,inf
9,7,1,1,75.41199898633994,3,1,1,68.5308129429122,0,2,ERROR,inf
10,1,14,1,23.199613917238302,1,3,2,48.32049534755285,1,2,ERROR,inf
11,5,5,1,33.86101262596468,3,1,2,82.89229401720965,2,1,ERROR,inf
12,1,1,1,96.24638843780797,0,1,1,53.01143125989909,3,2,ERROR,inf
13,4,2,6,46.27678600811392,0,1,2,32.167433297476876,1,1,ERROR,inf
14,1,1,3,8.100889265785337,1,0,1,19.890775319540598,3,2,ERROR,inf
15,2,6,3,99.61962737452012,2,3,2,27.519177682858455,3,2,ERROR,inf
16,2,1,1,13.38998764925481,2,0,1,36.91089903325149,1,2,ERROR,inf
17,4,14,2,78.88088431611757,1,2,2,9.79617090436915,2,1,ERROR,inf
18,3,16,1,73.27660842529292,2,3,2,72.66156321837293,2,2,ERROR,inf
19,2,4,2,17.09510077015124,3,0,2,63.317728609694,0,1,ERROR,inf
20,2,2,5,80.18516442341497,1,2,2,29.163202652836684,2,1,ERROR,inf
21,9,2,5,37.78407705501352,0,2,1,19.043805275958626,3,2,ERROR,inf
