id,PIPELINE_II_SUB,KERNEL_CLOCK,UNROLL_FACTOR_EXP1,UNROLL_FACTOR_EXP2,UNROLL_FACTOR_ECB1,UNROLL_FACTOR_ECB3,UNROLL_FACTOR_ECB2,PIPELINE_II_ADDKEY,PIPELINE_II_ECB1,PIPELINE_II_ECB2,PIPELINE_II_ECB3,PIPELINE_II_EXP1,PIPELINE_II_EXP2,PIPELINE_EXP2,PIPELINE_EXP1,UNROLL_FACTOR_ADDKEY,UNROLL_FACTOR_SUB,UNROLL_FACTOR_MIX,PIPELINE_SUB,PIPELINE_II_CPKEY,PIPELINE_II_MIX,PIPELINE_ECB2,PIPELINE_ECB3,PIPELINE_ECB1,PIPELINE_ADDKEY,DATA_MOVER_CLOCK,UNROLL_FACTOR_CPKEY,PIPELINE_MIX,PIPELINE_CPKEY,state,presynth_time,synth_time,impl_time,run_time
1,9,1,1,3,17,3,4,11,10,1,2,1,3,False,True,13,9,3,False,4,2,True,False,True,False,0,10,True,False,TIMING,373.8,890.96,inf,inf
2,16,1,1,1,31,7,5,8,14,2,1,1,3,True,False,9,11,4,True,8,1,False,False,False,False,0,3,True,True,TIMING,358.43,918.09,inf,inf
3,3,2,1,3,8,7,5,14,30,3,11,2,1,True,False,4,15,4,False,15,2,True,False,False,True,3,9,False,False,TIMING,390.04,903.65,inf,inf
4,8,0,1,3,2,2,2,9,21,2,8,3,2,True,False,1,10,1,False,2,3,False,True,False,True,0,15,True,True,TIMING,384.48,1726.13,inf,inf
5,7,3,2,2,20,13,6,7,1,6,7,2,2,False,True,9,11,4,True,16,1,True,False,True,False,3,9,False,True,TIMING,363.99,965.89,inf,inf
6,11,1,3,1,7,8,6,4,15,4,10,3,3,False,False,10,9,3,True,7,3,True,True,False,True,0,1,True,True,TIMING,405.98,1711.73,inf,inf
7,1,2,3,2,26,3,2,2,5,7,8,1,2,False,False,2,16,2,True,3,1,False,True,False,False,0,12,False,True,TIMING,394.41,1806.93,inf,inf
8,6,3,1,2,23,5,3,7,21,4,8,1,3,False,False,14,13,2,False,2,4,True,False,False,True,0,8,True,False,TIMING,390.11,952.01,inf,inf
9,13,2,3,3,23,8,7,7,13,8,5,1,1,True,False,11,6,4,False,8,1,False,True,False,True,0,16,False,True,TIMING,391.53,1799.38,inf,inf
10,10,1,1,3,9,10,3,4,6,4,1,3,2,False,False,2,5,1,False,1,1,False,False,True,False,2,11,False,False,TIMING,360.58,820.49,inf,inf
11,9,2,3,1,8,5,1,12,30,8,2,3,1,False,True,3,12,2,True,4,4,False,True,True,False,1,8,True,True,TIMING,399.02,1719.3,inf,inf
12,7,3,1,2,16,3,2,2,5,8,1,3,3,True,True,1,12,4,False,5,3,True,True,True,True,1,15,True,False,TIMING,443.37,1793.73,inf,inf
13,4,1,3,2,23,9,4,13,31,6,11,3,3,True,False,12,12,4,True,13,3,False,True,False,False,0,14,True,True,STO,444.41,inf,inf,inf
14,3,1,1,3,24,13,7,2,14,6,11,2,3,False,False,13,16,3,False,9,1,True,True,False,True,0,16,False,True,STO,400.04,inf,inf,inf
